identyfikator,lokalizacja,x,y
LOK001,Park_Kuzniczki,54.382059,18.607072
LOK002,Plac_Wybickiego,54.384332,18.609666
LOK003,Stacja_SKM_Wrzeszcz_-_Plac_KoÂˆodziejskiego,54.381246,18.604800
LOK004,Park_Grodzisko,54.351781,18.637527
LOK005,Stacja_SKM_Oliwa,54.410291,18.571996
LOK006,Plac_Dwoch_Miast,54.425453,18.580939
LOK007,Dworzec_PKS,54.356219,18.642615
LOK008,Stacja_PKP_Gdansk_GÂˆlowny,54.355741,18.645152
LOK009,Park_im._Reagana_lok._III,54.412251,18.614494
LOK010,Przystan_Zabi_Kruk,54.341718,18.649283
LOK011,Przystan_Sienna_Grobla,54.353616,18.662718
LOK012,Przystan_Tamka,54.357325,18.712630
LOK013,Przystan_NadwiÂ˜lanska,54.343788,18.825445
LOK014,Nowy_Port_CAE_Laznia_2,54.399175,18.670942
LOK015,Skwer_ul._Marynarki_Polskiej,54.399307,18.668656
LOK016,Reduta_Wilk,54.339134,18.654492
LOK017,Zieleniec_przy_ul._JaÂˆmuzniczej,54.341496,18.656241
LOK018,Park_de_Gaulle'a,54.379566,18.602758
LOK019,Park_ks._Kanonika_Orkusza,54.391454,18.647193
LOK020,Brzezno_Molo,54.413412,18.624443
LOK021,Targ_Weglowy,54.350781,18.647564
LOK022,Plac_Zebran_Ludowych,54.361623,18.641134
LOK023,Plaza_Jelitkowo,54.423563,18.601619
LOK024,Plaza_Brzezno_I,54.411005,18.630143
LOK025,Park_Brzeznienski_im._Haffnera,54.407297,18.646727
LOK026,Plaza_Stogi,54.374663,18.731097
LOK027,Plaza_Wyspa_Sobieszewska,54.347626,18.875126
LOK028,Park_Oliwski,54.410937,18.561474
LOK029,Park_im._Reagana_lok._I,54.418374,18.611536
LOK030,Park_im._Jana_PawÂˆa_II,54.400374,18.605942
LOK031,Park_Millenium_Gdanska,54.397047,18.613233
LOK032,Park_Akademicki,54.371423,18.623579
LOK033,Park_im._Steffena,54.364161,18.639622
LOK034,Park_OplÂˆywu_MotÂˆawy,54.339056,18.654320
LOK035,Park_Orunski,54.321974,18.628748
LOK036,Akademia_Wychowania_Fizycznego_i_Sportu,54.419620,18.562336
LOK037,Piwna,54.349951,18.651500
LOK038,UMG_Medyk,54.360654,18.629263
LOK039,ZOO_Oliwa,54.413334,18.533657
LOK040,Twierdza_WisÂˆloujÂ˜cie,54.395883,18.679132
LOK041,Pomnik_PolegÂˆych_Stoczniowcow,54.360250,18.649674
LOK042,Gora_Gradowa,54.356980,18.640007
LOK043,Skwer_przed_Krewetka,54.355902,18.646453
LOK044,Zieleniec_Heweliusza,54.354097,18.649797
LOK045,Skwer_CzesÂˆawa_Niemena,54.352332,18.644734
LOK046,Park_Hucisko,54.351473,18.644714
LOK047,Targ_Drzewny,54.352481,18.648756
LOK048,Brama_Wyzynna,54.350115,18.646873
LOK049,Dom_Harcerza,54.348691,18.647359
LOK050,DlÂˆuga_i_DlÂˆugi_Targ,54.348493,18.653586
LOK051,Szeroka_I,54.351176,18.653806
LOK052,Park_im._Reagana_lok._II,54.415142,18.601591
LOK053,Grobla,54.351176,18.653806
LOK054,Bazylika_Mariacka,54.350319,18.653520
LOK055,Szeroka_II,54.351176,18.653806
LOK056,Mariacka,54.349512,18.656231
LOK057,Sw._Ducha,54.350084,18.655732
LOK058,Stagiewna,54.347811,18.655881
LOK059,DÂˆlugie_Pobrzeze,54.347811,18.655881
LOK060,Rybackie_Pobrzeze,54.352550,18.659291
LOK061,Skwer_przy_Polskiej_Filharmonii_BaÂˆtyckiej,54.352550,18.659291
LOK062,Skwer_przy_Muzeum_Narodowym,54.345712,18.646582
LOK063,Deptak_-_Zabianka,54.420797,18.573642
LOK064,Westerplatte,54.406652,18.675614
LOK065,Skwer_przy_PGE-ARENA,54.391244,18.642033
LOK066,Skwer_przy_ul._GoÂ˜cinnej,54.323216,18.631922
LOK067,Skwer_przy_ul._Wodopoj,54.355481,18.651640
LOK068,DlÂˆugie_Pobrzeze_-_Brama_Sw._Ducha,54.34986108533562,18.657202314849883
LOK069,Marina_Szafarnia,54.349735950244344,18.6601781079346
LOK070,Park_Przymorze,54.41965785120001,18.589187722228985
LOK071,Plaza_Brzezno_II,54.408470886390674,18.64201595368354
LOK072,Stacja_SKM_-_Gdansk_Politechnika,54.37428687238104,18.627342084130873
LOK073,Zieleniec_przy_al._Hallera,54.37905752710682,18.622894763946533
LOK074,Zieleniec_przy_ul._Bohomolca,54.38903072879635,18.625501542852817
LOK075,Zieleniec_przy_ul._Buczka,54.342154,18.627483
LOK076,Zieleniec_przy_ul._Pomorskiej,54.42320351982278,18.59471018305055
LOK077,Zieleniec_przy_ul._Wilanowskiej,54.33324466719453,18.601752127508575
LOK078,Zieleniec_Piecki-Migowo,54.34808415979418,18.569719468292305
LOK079,Skwer_przy_al._ZoÂˆnierzy_Wykletych,54.383064,18.597873
LOK080,Skwer_przy_ul._Siennickiej,54.356698,18.679578
LOK081,Skwer_przy_ul._Zeromskiego,54.406567266498385,18.562437915344276
LOK082,Latarnia_Morska_w_Nowym_Porcie,54.407896,18.660477
LOK083,Aktiv_Park_Przymorze,54.413791,18.591734
LOK084,Skatepark_Osowa,54.421246,18.481016
LOK085,Plac_Biskupa_O'Rourke.,54.383005,18.626097
LOK086,Plac_gen._Maczka,54.38673116053939,18.58265766004945
LOK087,Plac_PiÂˆsudzkiego,54.386259387873366,18.591384155819696
LOK088,Park_w_Jasieniu,54.343076098094926,18.55458317130274
LOK089,Park_przy_ul._Chirona,54.425846107747915,18.46747141114497
LOK090,Park_przy_ul._Blizniat,54.42715739017063,18.482234776196264
LOK091,Park_nad_Strzyza,54.38050662499166,18.618300401574743
LOK092,Park_Zielony,54.36747954135278,18.630102727044686
LOK093,Park_Siennicki,54.34976589606949,18.67082749178769
LOK094,Park_Bema,54.35133779224704,18.632005893701148
LOK095,Park_w_Krolewskiej_Dolinie,54.36663926827034,18.610728674591087
LOK096,Park_Uphagena,54.3758918496256,18.617425970361296
LOK097,Park_JaÂ˜kowej_Doliny,54.369744413182275,18.5961689118119
LOK098,Wzgorze_PachoÂˆlek,54.411236776170426,18.552292549151616
LOK099,Stacja_Strzyza,54.391201674503705,18.578359043953014
LOK100,Stacja_SKM_Zabianka-AWFiS,54.420901743403256,18.568152862964666